English,Gothic
-- make exceedingly afraid,got. us-ag-jan* 1
after,"got. af-ar 77, af-ar-uþ-þan 2, bi-þÐ 69"
-- after that,"got. þa-þræ 11, þa-þræ-h 24"
-- after that time,got. bi-þÐ 69
-- after then,got. þan-a-sei-þ-s 28
-- after this time,got. þa-þræ 11
afterdeck,got. næt-a* 1
aftermost,got. af-t-u-m-a* 1
afterward,got. bi-þÐ 69
afterwards,got. þa-þræ 11
again,got. af-t-r-a 102=101
-- again from the start,got. iup-a-na 1
against,"got. and-waír-þ-is 1, bi 376=373, wi-þra 46"
-- speak against,got. and-sak-an* 1
age (N.),"got. aiw-s* 49, *al-d-r, al-d-s* 12"
-- advanced in age,got. fra-m-al-dr-s* 3
-- old age,got. al-d-æm-æ* 1
-- reach extreme age,got. us-al-þ-an* 1
-- of advanced age,got. fra-m-al-dr-s* 3
-- of age,got. us-wahs-an-s 2
aged,"got. *al-d-um-a, fra-m-al-dr-s* 3, *grei-s-ei-s?"
aghast -- be aghast,got. us-gei-s-n-an* 8
-- become aghast,got. us-gei-s-n-an* 8
agitate,"got. dræ-b-jan* 4, in-wag-jan* 2, wag-jan 3"
agitated -- be agitated,"got. dræ-b-n-an 1, ga-dræ-b-n-an* 2"
-- be agitated severely,got. bi-ab-r-jan* 1
-- become agitated,"got. dræ-b-n-an 1, ga-dræ-b-n-an* 2"
aglow -- be aglow with,got. wul-an* 2
agree,got. mi-þ-qiþ-an* 1
-- agree together with one another,got. ga-qiþ-an* 1
-- refuse to agree,got. un-wÐr-jan 2
agreeable,got. *wÐr-ei-s
-- completely agreeable,got. *al-l-a-wÐr-eis?
agreeability -- complete agreeability,got. al-l-a-wÐr-ei* 1
agreeing (Adj.),"got. ga-qi-s-s (1) 2, *wÐr-ei-s"
-- completely agreeing,got. *al-l-a-wÐr-eis?
-- have difficulty agreeing to,got. tuz-wÐr-jan* 1
-- joyfully agreeing with,got. ga-wiz-n-eig-s 1
agreeing (N.) -- agreeing to with difficulty,got. *tuz-wÐr-s
agreement,"got. ga-qi-s-s* (2) 1, sam-a-qi-s-s* 2"
-- total agreement,got. al-l-a-wÐr-ei* 1
