English,Gothic
army,"got. *draú-h-t-s (2), har-ji-s 2"
-- army be subject to an army leader,got. draú-h-t-in-æn* 4
-- army become subject to an army leader,got. draú-h-t-in-æn* 4
-- general of an army,got. *draú-h-t-in-s?
army commander,"got. *har-j-a-tug-a, *haz-d-wal-d-s?"
army leader -- army be subject to an army leader,got. draú-h-t-in-æn* 4
-- army become subject to an army leader,got. draú-h-t-in-æn* 4
army ring,got. *hari-hri-gg-s
aroma,got. dau-n-s 7
aromatic -- aromatic oils or salves,got. aræmat-a 1
around,got. bi 376=373
arouse,"got. ur-rai-s-jan 26, us-wag-jan* 2, us-wak-jan* 1"
aroused,got. þwaírh-s 3
arousedness,got. þwaírh-ei 13
arrange,"got. ga-rai-d-jan* 3, ga-tÐw-jan* 1"
arranged,"got. ga-rai-þ-s* 2, *ga-ta-s-s?, ga-tÐw-iþ-s, *rai-þ-s"
arrangement,got. tÐw-a* 1
array (N.),got. tÐw-a* 1
arrest (V.),got. ga-fõh-an 16
arrival,got. qu-m-s 14
arrive,"got. faír-ri-n-n-an* 3, qi-m-an 284"
-- arrive at,"got. ga-qi-m-an* 13, ga-til-æn* 1"
-- arrive by boat,got. at-far-jan* 1
-- arrive by hastening,got. ga-sniw-an* 2
-- arrive with haste,"got. *at-sniw-an?, du-at-sniw-an* 1"
-- make arrive at by throwing,got. at-waír-p-an 4
-- make arrive at by turning,got. at-wa-nd-jan* 1
arrogance,"got. hau-h-haírt-ei 1, us-bal-þ-ei* 1"
arrogant,"got. hau-h-haírt-s 2, hau-h-þðh-t-s 1, mikil-þðh-t-s* 1"
-- be arrogant,got. *us-bal-þ-jan
arrow,"got. *arh?, *arh-a, *ar¸-a, ar¸-az-n-a* 1"
artifice,got. lis-t-s* 1
as,got. swÐ 178
-- as if,got. swÐ 178
-- as just as,got. swa-swÐ 181=179
-- as like,got. swa-swÐ 181=179
-- as long as,"got. þan-dÐ 19, un-tÐ 386=383"
-- as much,got. sam-a-lauþ-s* 1
-- as of then,got. mi-þ-þan 3
-- as soon as,"got. bi-þÐ 69, sun-s-ei 6"
-- just as,got. swÐ 178
-- so as,got. swa-swÐ 181=179
-- so as to,got. swa-ei 23
ascend,got. us-steig-an 10
ash,got. az-g-æ* 4
-- flying ashes,got. *fal-wisk-a?
-- ashes,got. az-g-æ* 4
ashamed -- be ashamed,got. ga-s-kam-an sik* 1
-- be ashamed of,got. s-kam-an* sik 10
-- make ashamed,got. ga-aiw-isk-æn* 11=10
ash-tree,got. *ask-s?
Asia,got. Asia* 4
aside -- setting aside (N.),got. af-sat-ein-s* 1
ask,"got. *ais-k-æn?, bid-jan 134=133, frag-an* 1, fraíh-n-an 57, ga-fraíh-n-an* 2"
-- ask a favour,got. bid-jan 134=133
-- ask a question,got. fraíh-n-an 57
-- ask for,"got. *ais-k-æn?, *bid-an?, bid-jan 134=133, sæk-jan 72"
asleep -- be asleep,got. s-lÐp-an* 12
-- fall asleep,"got. an-a-s-lÐp-an* 4, ga-s-lÐp-an* 5"
aspect,got. hal-b-a* 2
-- divine aspect,got. gu-d-a-skaun-ei* 1
aspen,got. *asp-a?
aspergation,got. uf-ar-ra-n-n-ein-s* 1
asphyxiate,got. af-¸ap-jan 5
assailable,got. *ga-fair-in-æn-d-s?
assailant,got. slah-al-s 3=2
assailed,got. *ga-fair-in-æ-þ-s
assarion,got. assar-ju-s* 1
assemble (V.),"got. ga-lis-an* 10, ga-ga-g-g-an* 7, ga-ga-til-æn* 2, lis-an* 4"
assembled -- assembled community,got. ga-mai-n-þ-s 1
assembly,"got. ga-mai-n-þ-s 1, ga-qu-m-þ-s* 8, maþ-l* 1"
-- speak at an assembly,got. maþ-l-jan* 2
assess (V.),got. rah-n-jan* 14
assessment,got. rag-in* 6=5
assign (V.),got. ga-tÐw-jan* 1
assistance,got. andb-ah-t-i 25=24
associate -- associate with,"got. bla-nd-an (sik) 3, mi-þ-ga-wi-s-an* 1"
assume,got. ah-jan* 1
-- assume a begging position,got. knu-s-s-jan* 2
-- assume a likeness,got. ga-ga-leik-æn* 3
-- assume proper state,got. ga-sta-n-d-an 22
assuredly -- most assuredly,got. raíh-t-is 46
assuredness,got. stæ-m-a* 2
astonished,got. us-fil-m-a* 2
-- be astonished,"got. bi-ab-r-jan* 1, us-gei-s-n-an* 8"
astonishment,"got. *fil-m-s?, si-ld-a-leik 1, us-fil-m-ei 2"
astray -- draw astray together,got. mi-þ-ga-tiu-h-an* 1
astuteness -- use astuteness on,got. and-hru-sk-an* 1
asunder,"got. dis- got., sun-dr-æ 10"
at,"got. an-a (1) 273, at 170, bi 376=373, du 955, fra-m 185=183, in 1792"
-- at all (in neg. sentences),got. al-l-is 27
atonement,got. *sæn-a?
atop,got. uf-ar-æ 7
attack (N.) -- verbal attack,got. an-a-qi-s-s* 2
-- take possession of by attack,got. dis-sit-an* 3
attack (V.),"got. bi-qi-m-an* 1, dis-driu-s-an* 1"
attain,"got. faír-ri-n-n-an* 3, ga-sniw-an* 2, niut-an 2"
-- attain to,"got. ga-qi-m-an* 13, ga-til-æn* 1"
attempt,got. du-gi-n-n-an* 47=46
attend -- attend to,got. gau-m-jan 16
attention,"got. *gau-m-a (1)?, *hliu-þ?"
-- with attention to detail,"got. gla-ggw-a-ba 1, gla-ggw-æ 1, *gla-ggw-s?, gla-ggwu-ba 1"
-- without attention,got. un-kar-ja 2
-- give attention to,"got. and-saí¸-an* 2, wi-t-an (2) 12"
-- pay attention to,"got. gau-m-jan 16, mun-d-æn* 2=1 sis"
attentiveness,got. *faír-wei-t?
attentively -- view attentively,"got. *faír-wei-t-an?, faír-wei-t-jan 6"
attest (V.),got. wei-t-wæd-jan 38=37
-- attest (V.) together with,got. mi-þ-wei-t-wæd-jan* 1
attestation,"got. wei-t-wæd-ei 5, wei-t-wæd-iþ-a 16"
-- depositional attestation,got. wei-t-wæd-i* 1
attesting,got. wei-t-wæd-ein-s 1
attitude,got. fraþ-i 14
-- take an attitude beforehand,got. faúr-a-ga-hug-jan* 1
-- have a haughty attitude,got. uf-ar-hug-jan* 1
attract,got. dra-g-an* 1
attractive,got. *frei-þ-s?
audacious -- be audacious,got. an-a-nanþ-jan* 4
audacity -- have the audacity to,got. an-a-nanþ-jan* 4
augment (V.),got. an-a-auk-an 5
aurochs,got. *ð-r-s ðraz?
auspices -- divine auspices,got. *aw-i (2)
autoritatively -- authoritatively ordered,got. ga-rai-þ-s* 2
authoritatively -- direct authoritatively,got. rai-d-jan* (1) 2
authority,"got. reik-i* 8, wald-ufn-i 55"
-- exercise authority over,got. ga-wald-an* 1
avail (N.),got. *bat-a
-- be of avail,got. ga-mag-an* 1
avail (V.),got. bæt-jan* 4
availing,got. *nut-s?
avarice,"got. faíh-u-gaírn-ei* 1, faíh-u-gei-r-æ 3"
avaricious,"got. faíh-u-frik-s 6, faíh-u-gaírn-s* 1, *faíh-u-gei-r-s?"
avenge,"got. fra-wei-t-an 5, ga-wri-k-an* 3"
aversion -- causing aversion,got. and-a-sÐt-s* 2
avid -- no longer avid,got. us-grud-j-a* 7=6
avidity,got. al-jan (2) 13
-- financial avidity,got. faíh-u-gei-r-æ 3
avoid,"got. and-sit-an* 4, bi-wa-n-d-jan* 5"
await,"got. beid-an* 8, us-beid-an* 5, wÐn-jan* 20=19"
awaiting,got. us-beis-n-s* 5
awake (Adj.),got. *wak-r-s?
-- be awake,"got. wak-an* 6=5, *wæk-an?"
-- become awake,"got. ga-wak-n-an* 1, *wak-n-an"
-- keep awake,got. wak-an* 6=5
-- staying awake,got. wæk-ain-s* 2
-- stay awake throughout,got. þaír-h-wak-an* 2
awake (V.),"got. ga-wak-n-an* 1, *wak-jan, us-wak-jan* 1"
aware -- be aware of,got. mi-þ-wi-t-an* 1
away,"got. dis- got., und 67"
-- away from,"got. af 135, us 340"
-- away from here,got. al-ja-r 2
-- away from home,got. af-hai-m-ei-s* 2
awe (N.),got. ag-i-s 20
awl,"got. *alisn-a?, *el-a?"
ax,got. aqiz-i 1
axis,got. ah-s-a* 1?
axle,got. ah-s-a* 1?
b,got. b 9
babble (N.),got. lau-s-a-waúr-d-ei* 1
babble (V.),got. fil-u-waúr-d-jan* 1
back (Adv.),got. af-t-r-a 102=101
-- in back of,"got. *af-ta-r-æ 3, hi-n-d-ana 1"
backwards,got. af-t-r-a 102=101
bacon,got. *feus-a?
bad (N.),got. ub-il
bad,"got. at-ocht-a 1, *atug-s?, ub-il-s 56"
-- bad reputation,got. waj-a-mÐ-r-ei* 1
-- bad repute,got. waj-a-mÐ-r-ei* 1
-- bad temper,got. mæ-þ-s* (1) 2
badger,got. *þahs-u-s?
badly,got. ub-il-a-ba 2
badness,got. un-þiu-þ* 7
bag (N.),got. sakku-s* 2
-- bag made of skin,got. bal-g-s* 12
bairn,got. frast-s* 1
bait (N.),"got. *læ-þr?, qaír-þr-a* 1?"
bald -- shave bald,got. bi-skab-an* 1
bale (N.),got. *balu?
baleful,"got. *balu-s, *balw-a-wei-s, slei-þ-s* 2"
balefulness,got. *balu?
balmy,got. *lindbalsam (N.)
ban (N.) -- reach of ban,got. *ba-n-n-wÆd-a
band (N.),"got. ga-bind-a* 1, *rigil-æ?, *bind-a?, *snæb-æ?, wrÐ-þ-u-s* 1"
bandage (N.),got. fask-j-a* 1
-- bandage up the front of,got. faúr-waip-jan* 1
bandit,got. wai-dÐ-d-j-a 9
baneful,got. slei-þ-s* 2
banished (M.),got. *war-g-s?
bank (N.) (2),"got. sta-þ-a* (1) 3, *skarp-a (2)"
-- steep bank,got. driu-s-æ* 3
banker,got. skat-t-j-a* 2
banquet,got. daúht-s* 2
-- festive banquet,got. ga-baúr* (2) 2
baptism,got. daup-ein-s 19
baptist,got. daup-jand-s 10
baptize,"got. daup-jan 24, uf-daup-jan* 5"
baptized -- be baptized,got. daup-jan 24
-- become baptized,got. daup-jan 24
baptizer,got. daup-jand-s 10
barbarian,got. barbaru-s 1
barbarous,got. un-man-a-rigg-w-s* 2=1
bare (Adj.),"got. *bas, *blau-t-s?"
bare (V.),got. *baz-jan?
bargain (N.),got. *kaup
bargain (V.),got. kaup-æn* 1
barley,"got. *bar-i-s, *fin-j-a?"
-- of barley,got. bar-i-z-ein-s* 4
barley flour -- made of barley flour,got. bar-i-z-ein-s* 4
barn,got. ban-st-s* 2
barrel,got. *ful-l-j-a?
barren,got. au-þ-ei-s* 6
-- barren woman,got. staír-æ 3
barter (N.),got. *mai-d-ein-s?
base (V.),"got. ga-sðl-jan* 3, *sðl-jan"
basis -- basis for accusation,got. faír-in-a* (1) 8
basket (N.),"got. spwr-eid-a* 2, tain-j-æ* 5, *sah-r-j-a?"
-- basket made of branches or switches,got. tain-j-æ* 5
-- mesh basket,got. snær-j-æ* 1
-- wicker basket,"got. snær-j-æ* 1, tain-j-æ* 5"
bat (2) (N.),got. *mðstrigg-s?
batch -- batch of dough,got. daig-s 5
-- mouldable batch,got. daig-s 5
bathe (V.),got. þwah-an 5
battalion,got. hans-a 4
battle (N.),"got. *bad-u-, *ha-þu-s?, *hil-d-i?, *hil-d-s?, jiuk-a* 2, waih-j-æ* 1"
-- oppose with battle,got. and-weih-an* 2
battle (V.),"got. brik-an* 3, jiuk-an* 2, weih-an (1) 2"
battleaxe,got. *belbattle-field
be,"got. hab-an 273=271, wi-s-an (1) 1659=1646"
-- be in being,got. wi-s-an (1) 1659=1646
-- be over,got. uf-ar-wi-s-an* 2
-- be together,got. mi-þ-ga-wi-s-an* 1
-- come to be,"got. ga-ga-g-g-an* 7, waír-þ-an 472=470"
-- start to be,got. waír-þ-an 472=470
-- is it so that,"got. i-ba-i 69, ja-u 9"
-- is it thus that,got. swa-u 1
beaker -- cusped beaker,got. sti-k-l-s 16
beam (N.) -- wooden beam,got. an-s* (1) 3
bear (N.),"got. *bair-a, *bel-- young bear"
bear (V.) (1),"got. þul-an 6, baír-an 46=45"
-- bear a grudge against,got. neiw-an* 1
-- bear away,got. us-baír-an 6
-- bear down on,got. dis-driu-s-an* 1
-- bear forth,got. us-baír-an 6
-- bear fruit,got. ga-wri-sq-an* 1
-- bear hardship with,got. mi-þ-arbai-d-jan* 2
-- bear in mind,got. and-þag-k-jan* (sik) 3
-- bear in thither,got. in-n-at-baír-an* 2
-- bear out,"got. us-baír-an 6, ðt-baír-an* 1"
-- bear psychologically,got. fra-baír-an* 1
-- bear through,"got. þaír-h-baír-an* 1, us-þul-an 19=18"
-- bear up,got. haf-jan* 1
-- bear witness,got. wei-t-wæd-jan 38=37
-- bear witness together with,got. mi-þ-wei-t-wæd-jan* 1
bearberry tree,got. baír-a-bagm-s* 1
beard,"got. *bard-s (1) 1, *gra-n-a, *gra-n-æ?, gra-n-us* 1"
bearer -- bearer of official tidings,"got. *sag-j-a, *sag-ji-s, sai-o 29"
bearing -- patient bearing,got. us-þul-ain-s* 2
beast,"got. diu-s* 2, un-biar-i* 1"
-- wild beast,"got. diu-s* 2, un-biar-i* 1"
beat (V.),"got. *bau-t-an?, bli-gg-w-an* 6, slah-an* 10"
-- beat into,got. wal-t-jan* 1
-- beat one's breast over,got. flæ-k-an* 1
-- beat severely,got. us-bli-ggw-an* 7
-- beat to death,got. bli-gg-w-an* 6
beaten,got. *blau-þ-s
beautiful,"got. ga-delth-a 1, gæþ-s 89, s-kau-n-s* 1"
-- equally beautiful,got. ibn-a-skaun-s* 1
beauty -- of equal beauty,got. ibn-a-skaun-s* 1
because,"got. al-l-is 27, dð-þÐ 50, þan-dÐ 19, þatei 370"
-- because of,"got. bi 376=373, in 1792"
become,got. waír-þ-an 472=470
becomingly,"got. *fÐh-a-ba?, ga-fÐh-a-ba 1, waír-þ-a-ba 4"
bed (N.),"got. bad-i* 7, lig-r-s* 9"
bedroom,got. hÐ-þ-j-æ* 1
»beeing beside the way«,got. *us-sinþ-s?
before,"got. faúr 79=78, faúr-a 61, faúrþ-iz-ei 9, fra-m 185=183"
-- before everything,got. fru-m-ist 14
-- before that,got. faúrþ-is 23
-- before the lapse of,got. bi 376=373
-- before the time when,got. faúrþ-iz-ei 9
-- from before,got. iup-a-na 1
beforehand,"got. faúr-a 61, faúrþ-is 23"
-- announce (V.) beforehand,got. faúr-a-ga-tei-h-an* 2
-- do beforehand,got. faúr-sniw-an* 3
beg,"got. aih-tr-æn 5, *ais-k-æn?, bid-jan 134=133"
beget,got. us-sat-jan* 8
begetting,got. us-sat-ein-s* 1
beggar,got. bid-ag-w-a 1
begin (V.),"got. an-a-stæ-d-jan* 9, du-gi-n-n-an* 47=46, du-stæ-d-jan* 5=4, *gi-n-nan"
-- begin (V.) quaking,got. in-reir-an* 1
-- begin (V.) to be troubled,got. in-dræ-b-n-an* 3
beginning (N.),"got. an-a-stæ-d-ein-s 13, *fru-m?, *fru-m-ei, fru-m-ist-i* 3"
-- cause (V.) the beginning of,got. gans-jan* 2=1
-- make a beginning,got. du-stæ-d-jan* 5=4
beguile,"got. lut-æn* 1, us-lut-æn* 9"
beguiling,got. bi-rð-n-ain-s* 1
behalf -- on behalf of,got. faúr 79=78
behave,got. us-mi-t-an 6
-- behave disgracefully,got. aiw-isk-æn* 1
behaviour,got. us-mÐ-t* 6
behead,got. af-mai-t-an* 8
behest,got. hai-t-i* 2
behind,"got. af-t-a 1, hi-n-d-ana 1, hi-n-dar 15"
-- from behind,"got. af-ta-na 1, *af-ta-r-æ 3"
-- leave behind,"got. bi-lai-b-jan* 1, bi-lei-þ-an* 26, *lai-b-jan"
behold (Interj.),got. sai 101
behold,"got. þaír-h-saí¸-an* 1, *wlei-t-an?"
being (N.),"got. *wÐ-s-ei?, wi-s-t-s* 9"
-- being present,got. and-waír-þ-s 9
-- being puffed up,got. uf-swal-l-ein-s* 1
-- female being,got. qin-ein* 1
-- inner being,got. haír-þ-r-a 2
belief,got. ga-laub-ein-s (1) 104
believe,"got. ga-laub-jan 146=145, mi-þ-nim-an 1, mun-an* (1) 19, þugk-jan* 23"
believing,got. ga-laub-ein-s* (2) 1
bell (1),got. *s-kil-l-a?
belly (N.),"got. wamb-a 11, *bð-k-s, qi-þ-u-s* 4"
belongings,"got. aig-in* 6, aih-t-s* 2"
beloved,"got. *frei-þ-s?, liuf-s* 23, wa-l-is-a* 5"
-- beloved person,"got. *hul-þ-a, *hul-þ-æ?"
below,got. dal-aþ-a 1
-- from below,got. dal-aþ-ræ 1
belt (N.),"got. gaír-d-a* 2, *stri-gg-a"
bench,got. *bagk-s?
bend (V.),"got. biug-an* 2, ga-biug-an* 1"
-- bend (V.) down to,got. an-a-hnei-w-an* 2
-- bend (V.) downcast,got. hnei-w-an 1
beneath,"got. dal-aþ-a 1, uf 37, undar-æ 2"
-- from beneath,got. dal-aþ-ræ 1
benediction,"got. þiu-þ-i-qi-s-s* 1, waíl-a-qi-s-s* 1"
-- confer benediction,got. þiu-þ-jan* 19
-- confer benediction upon,got. ga-þiu-þ-jan* 4
benefaction,"got. aíw-laúg-i-a* 1, þiu-þ-ein-s* 4, waíl-a-dÐ-þ-s* 1, waíl-a-qi-s-s* 1"
benefactory,got. *þiu-þ-s?
beneficence,"got. an-st-s 68=65, þiu-þ-ein-s* 4"
beneficent,got. an-st-eig-s 1
beneficial,"got. þiu-þ-eig-s 17, *þiu-þ-s?"
-- be beneficial,got. dug-an* 2
benefit (N.),"got. *bat-a, bæt-a* 3, waíl-a-dÐ-þ-s* 1"
-- derive benefit,got. ga-bat-n-an* 1
benefit (V.),"got. bæt-jan* 4, ga-bat-n-an* 1, tim-r-jan* 9"
benefited -- be benefited,got. ga-bat-n-an* 1
-- become benefited,got. ga-bat-n-an* 1
benevolence,"got. ble-i-þ-ei 4, sÐl-ei 8"
benevolent,"got. sÐl-s 3, *þiu-þ-s?"
benign,got. sÐl-s 3
benignity,got. sÐl-ei 8
bequest (N.),got. triggw-a 8=7
berate,"got. an-a-hai-t-an* 6, lá-i-an* (?) 1"
berry,got. ba-s-i*
beseech,"got. aih-tr-æn 5, *bid-an?, bid-jan 134=133"
beseige,got. dis-sit-an* 3
beset,"got. dis-driu-s-an* 1, dis-sit-an* 3"
beshadow,"got. *ga-skad-w-jan?, *skad-w-jan?"
beside,"got. faúr 79=78, faúr-a 61"
besides,got. auk 286=285
besmear,got. bi-sme-i-t-an* 1
best,got. ma-i-s-t-s 7
bestow,got. fra-gib-an 25
-- bestow by argumentation,got. an-a-in-sak-an* 1
bestowal,got. fra-gif-t-s* 3
betake,got. at-hab-an* (sik du) 1
-- betake o.s. to,got. at-ga-g-g-a-n* 62
betray,"got. fra-lÐw-jan* 1, ga-lÐw-jan 16"
-- betray in an act of opportunism,got. lÐw-jan* 3
betroth,"got. ga-wad-j-æn* 1, *wad-j-æn"
betrothal,got. fra-gif-t-s* 3
better (Adj.),"got. *bat-is, bat-iz-a* 11, *ius?, ius-iza 1"
-- become better off,"got. *bat-n-an?, ga-bat-n-an* 1"
-- make better,got. ga-bæt-jan* 1
better (V.),got. *ius-il-æn?
betterment,got. ius-il-a 2
between,got. mi-þ 254=252
bevainglorious,got. flaut-jan* 1
beverage,got. *dru-g-k-s?
-- fermented beverage,got. lei-þ-u* 1
bewail,"got. flæ-k-an* 1, gau-n-æn 3, qai-n-æn 4, *wai-n-jan, *wai-n-æn"
beware,got. *war-æn
bewildered,got. us-fil-m-a* 2
-- bewildered stupor,got. *fil-m-s?
bewilderment,got. us-fil-m-ei 2
bewitch,"got. af-hug-jan* 1, *in-wei-t-jan?"
beyond,"got. hi-n-d-ana 1, hi-n-dar 15, uf-ar-jain-a 1"
-- beyond accusation,got. un-faír-in-a* 2
-- beyond reproach,got. us-faír-in-a 3
-- over beyond,got. uf-ar-jain-a 1
bias -- partisan bias,got. wi-l-j-a-hal-þ-ei 3
bickering -- continuous bickering,got. us-bal-þ-ei* 1
bid (V.),"got. an-a-biud-an* 40, *biud-an, hai-t-an 64"
-- bid (V.) come,"got. at-hai-t-an* 14, at-la-þ-æn* 2, la-þ-æn 19"
-- bid (V.) convene,got. ga-la-þ-æn 9
-- bid (V.) farewell,got. twi-s-sta-n-d-an* 2=1
bier,got. ¸ilf-tr-jæ-s* 1
billet,got. *klub-a
bind (V.),"got. ga-bind-an 18, *waip-jan?, *wi-d-an?"
bind,got. bind-an* 1
-- bind about,got. bi-bind-an* 1
-- bind around,got. bi-bind-an* 1
-- bind fast,got. ga-bind-an 18
-- bind together,got. ga-wi-d-an* 1
-- bind up,got. bi-bind-an* 1
-- bind up the front of,got. faúr-waip-jan* 1
-- bind up the mouth of,got. faúr-mð-l-jan* 1
birch,got. *baír-k-a?
birch seedling,got. ber-cn-a 1
birch tree,got. *baír-k-a?
bird,got. fu-gl-s* 6
birth,got. ga-baúr-þ-s* 12
-- person given birth,got. baúr* (1) 2
-- give birth (to) amid throes,got. fit-an* 2
-- give birth,got. baír-an 46=45
-- give birth to,got. ga-baír-an 26
-- of noble birth,got. gæd-a-kun-d-s 1
birthplace,got. ga-baúr-þ-s* 12
bisection,got. hal-b-a* 2
bishop,got. aípi-skaúp-u-s 3
-- office of a bishop,got. aípi-skaúp-ei* 1
bishopric,got. aípi-skaúp-ei* 1
bit -- little bit of,got. fau-s* 7
bite (V.),got. bei-t-an* 1
bitter (Adj.),got. bai-t-r-s* 1
bitterly,got. bai-t-r-a-ba 1
bitterness,got. bai-t-r-ei 2
black (Adj.),got. swart-s* 1
-- black ink,"got. swart-i-s* 1, swart-i-zl* 1"
-- make black,got. *swart-jan?
blackamoor...,got. *maurblacken
blade,got. *ag-iblamable
blame (V.),"got. fái-an* 1, faír-in-æn* 3"
blameless,"got. un-aiw-isk-s* 1, un-faír-in-a* 2, un-ga-faír-in-æ-þ-s 5=4, un-wõ-h-s*"
"1, us-faír-in-a 3",
blamelessly,"got. swikn-a-ba* 1, un-faír-in-æd-a-ba 1"
blameworthy,got. *wõ-h-s?
blare (N.),got. *þu-t-s?
blare (V.),got. *þiu-þ-an
blaspheme,"got. an-a-qiþ-an* 1, waj-a-mÐ-r-jan 10"
blasphemy,"got. an-a-qi-s-s* 2, nai-t-ein-s* 3, *waj-a-mÐ-r-ein-s 5"
blaze (N.),got. lauh-mun-i* 3
-- horse with a blaze,got. *ba-l-a 2
blaze (V.),got. lauh-at-jan* 1
bleeding (Adj.),got. blæ-þa-ri-n-n-an-d-s 2
blemish -- skin blemish,got. mail* 1
bless (V.),"got. au-d-ag-jan* 1, ga-þiu-þ-jan* 4, þiu-þ-jan* 19"
blessed,"got. au-d-ag-s 15, au-da-haf-t-s* 1, þiu-þ-eig-s 17"
blessing (N.),"got. aíw-laúg-i-a* 1, an-st-s 68=65, þiu-þ-ein-s* 4, þiu-þ-i-qi-s-s* 1,"
waíl-a-qi-s-s* 1,
blest,got. au-d-ag-s 15
-- regard as blest,got. au-d-ag-jan* 1
blind (Adj.),"got. bli-nd-s 32, un-saí¸-an-d-s* 1"
-- become blind,got. af-bli-n-d-n-an* 1
-- grow blind,got. *bli-nd-n-an?
-- make blind,got. ga-bli-nd-jan* 2
blind (V.),got. *bli-nd-jan?
blink (N.),got. bra¸* 2=1
bliss,got. au-d-ag-ei 1
blister (N.),got. *baul-j-æ
bloat -- bloat up,"got. uf-bau-l-jan* 1, *uf-swal-l-jan?"
bloatedness,got. uf-swal-l-ein-s* 1
block (V.),got. war-jan* 9
-- block up as with a dam,got. faúr-dam-m-jan* 1
blond (Adj.),got. *blund-s?
blood,got. blæ-þ 21=20
blood relationship,got. si-b-j-a* 1
blood-relative -- male blood-relative,got. n-i-þ-ji-s 3
-- female blood-relative,got. niþ-j-æ 1
blood stock,got. kun-i 17
blood-running (Adj.),got. blæ-þa-ri-n-n-an-d-s 2
blow (N.),"got. *blÐ-s-t-s?, slah-s* 7"
-- give a blow,got. slah-an* 10
blow (V.),"got. *bau-l-jan?, *blÐ-s-an?, *blÐ-s-t-jan?, *s-taúr-m-jan, wái-an* 3"
-- blow (V.) a horn,"got. haúr-n-jan* 2, þu-t-haúr-n-jan* 1"
-- blow (V.) up,got. uf-blÐ-s-an* 3
blowing (N.),got. *wi-nþ-ei-s?
blush (V.),"got. *ga-riud-an?, *riud-an"
boar (N.),"got. *ibr-s?, *bÐ-r-s?"
board (N.),"got. *baúr-d (1), *bri-þ?, *þil-j-æ"
-- board for resting the feet,got. fæt-u-baðr-d 3
-- writing board,got. spil-d-a* 3
boast (N.),got. ¸æf-tul-i 15
boast (V.),"got. flaut-jan* 1, ¸æp-an 33=31, uf-blÐ-s-an* 3"
boaster,got. bi-hai-t-j-a 2
boastful,got. flau-t-s* 2=1
boasting (N.),got. ¸æf-tul-i 15
boat,got. skip 34
-- arrive by boat,got. at-far-jan* 1
-- travel by boat,got. far-jan* 2
bodily,got. leik-ein-s 6
-- bodily dimensions,got. laud-i* 1
body,"got. leik (1) 173=171, *li-f-s"
-- celestial body,got. tuggl* 1
-- fleshly body,got. leik (1) 173=171
-- part of the body,got. li-þ-u-s 17
-- partner in the same body,got. ga-leik-a* 1
-- of the same body,got. ibn-a-leik-s* 1
boil (N.),"got. *baul-j-æ, kusm-a* 1"
boil (V.),"got. *siu-d-an?, *bre-u-w-an"
-- boil (V.) over,got. wul-an* 2
bold (Adj.),"got. *bal-þ-s *bald-, *kæn-i-, *nanþ-s?, *þra-s?"
-- be bold,"got. bal-þ-jan* 1, ga-daúr-s-an 8"
boldly,got. bal-þ-a-ba 2
boldness,"got. bal-þ-ei* 6, *nanþ- *nanþa"
-- raucous boldness,got. þras-a-bal-þ-ei* 1
bolt (V.) (1),got. *kilan?
bond (N.),"got. band-i 7, ga-bind-a* 1, ga-bind-i 1, ga-bund-i* 1, ga-wi-s-s* 2,"
"kawts-j-æ* 4, wad-j-a-bæk-æs* 1",
-- person in bonds,got. band-j-a 6
-- iron bond,got. eis-arn-a-band-i* 1
bondage,got. þiw-adw* 1
-- put in bondage,got. an-a-þiw-an* 1
bondsman,got. þiu-s* 2
-- bondsmen,got. þÐw-i-s* 2
book (N.),got. bæk-a 34=33
boot (V.),got. bæt-jan* 4
booth,"got. hlei-þ-r-a* 5=4, hlij-a* 1"
booty,"got. *rau-b-a, *rau-p-a"
booze (V.),got. *sð-p-an
border (N.),"got. arc-a 3, mark-a* (1) 6"
-- border neighbour,got. ga-mark-æ*
border (V.) -- border on,got. ga-mark-æn* 1
bordering (Adj.),got. *ga-mark-a
born,got. *-baúr-an-s?
-- be born,got. waír-þ-an 472=470
-- born of heaven above,got. uf-ar-himin-a-kund-s 2
-- he who is born,got. baúr* (1) 2
borne,got. *baúr-þ-s (1)
-- she having borne,got. *bÐr-us-i?
-- that borne in tribute,got. ga-baúr (1) 4
-- she who has borne,got. *bÐr-us-i?
borrow,got. lei¸-an (sis) 4
bosom,"got. bar-m-s* 5, haír-þ-r-a 2"
both,"got. ba-i (1) 7, ba-j-æþs 5"
-- the both of us,got. wi-t 8
-- the both of you,got. ju-t* 8
-- of us both,got. *ugkar?
-- of you both,got. igqar* 1
bother (V.),"got. drai-b-jan* 4, us-ag-l-jan* 1, us-þri-ut-an* 3"
bottle (N.),got. *flask-æ
bottomless,got. *af-grund-u-s?
bough,got. ast-s 9
boulder,got. hal-l-u-s* 1
bound (Adj.),got. haf-t-s* (1) 1
-- bound by oath,got. uf-ai-þ-ei-s* 1
-- become bound,got. *bund-n-an?
-- be bound,got. *bund-n-an?
boundary,got. mark-a* (1) 6
bounty,got. waíl-a-qi-s-s* 1
bow (N.),got. *bog-a 1
bow (V.) (1),"got. an-a-hnei-w-an* 2, biug-an* 2"
