Esperanto,Occidental
"komplet/igi,-a","comple/er,-t"
komplemento,* -ment
komplezi,compleser
"komplik/i,-a","complic/ar,-st"
komploto,complot
"kompon/i,-aĵo","compos/ir,-ition"
komposti,composter
aceti,comprar
"kompren/i,-ebla","compren/der,-sibil"
kcmpromiti,comprometter
"kompromis/o,-i","compromiss,-er"
"komput/i,-oro","comput/ar,-ator"
grafo,comto
"komun/a,-umo","comun,-e"
"komunik/i,-aĵo","comunic/ar,-ation"
komunio,comunion
"komut/i ,-ilo","comut/ar,-ator"
kun,con
"konus/o,-a","con/e,-ic"
konkava,concav
"koncesi/i,-o","conce/der,-ssion"
1.koncepti 2. koncipi,concepter
koncerni,concerner
konko,conche
konciza,concis
"konklud/i,-o","conclu/der,-sion"
"konkord/i,-o","concord/ar,-ie"
konkurenc/i-o,"concurr/er,-entie"
kondamni,condamnar
kondensi,condensar
kondimento,condiment
kondiĉe,condition
kondicionalo,conditionale
kondolenci,condoler
"konduki, konbukti",conducter
"kondut/i,-o","condu/ir,-ida"
interkosiliĝi,conferer
konfesi,confesser
limo,confine
konfidi,confider
konfirmi,confirmar
konfiti,confiter
konforma,conform
konfronti,confrontar
konfuzi,confuser
kongeli,congelar
kongrui,congruer
konifero,conifere
konjugi,conjugar
konjekti,conjecter
kunligi,conjuncter=conjunter
"interligi, koneksi",conexer
konekti,conecter
ĵurpeti,conjurar
koni,conosser
konkeri,conquestar
konsekri,consacrar
konscienco,conscientie
"konsekvenc/a,-o","consequ/ent,-entie"
konsenti,consentir
konservi,conservar
konsideri,considerar
konsili,consiliar
konsisti,consister
konsoli,consolar
konsonanto,consonant
konspiri,conspirar
konstanta,constant
konsterni,consterner
"konstip/i,-o","constip/ar,-ation"
kcnstitui,constituer
konstitucio,constitution
konstrikti,constricter
1.konstrui 2.konstrukti,constructer
konsulti,consultar
"kcnsum/o,-i","consum,-ar"
konsumi; eluzi,consumpter
kontakto,contact
kontanta,contant
"enhav/i,-o","conten/er,-e"
kontenta,content
kontesti,contestar
"kontinu/a,-i","continu/i,-ar"
konto,conto
kontoro,contore
kontraŭ,contra
"kontraband/i,-o","contraband/ar,-e"
kontrakti,contra/ct/er
kontribui,contribuer
aflikti,contrir
konturo,contura
"kontuz/i,-/aĵ/o","contus/er,-ion"
"konvalesk/i,-o","convalesc/er,-entie"
koveni,convener
kunveni,convenir
konventi,conventer
converĝi,converger
"konversaci/i,-o","convers/ar,-ation"
konverti,converter
konveksa,ccnvex
konvikti,convicter
konvojo,convoy
pokalo,cope
ĥoro,cor
"kuraĝ/o,-a","corage,-osi"
korbo,corb
korko,corc
kordo,corde
"kor/o,-a","cordi/e,-al"
korno,corn
"sakfajfilo, sakfluto",cornamuse
korneo,cornea
korniko,cornille
"korono, krono",coron
korpuso,corpo
korpo,córpor
korpulenta,corpulent
"korekt/a,-i,isto,-aĵo","corect,-er,-or,-ura"
"korespond/i,-aĵo","corespond/er,-entie"
koreletiva,corelativ
koridoro,coridor
korsaĵo,corsage
korseto,corsete
korto,corte
ŝelo,cortice
kurteno,cortine
kolapsi,coruir
"korupt/i,-/ad/o","corupt/er,-ion"
korvo,corvo
aĵo,cose
"kosm/o,-a","cosm/o,-ic"
1.ripo 2.bordo,coste
kostumo,costume
kotono,coton
kovi,covar
koverto,covert
,"covr/ir,-iment_- kovr/i,-ilo"
kramfo,cramp
krampo,crampon
gruo /maŝino/,cran
kranio,cranio
krajono,crayon
"kre/i,-/ad/o","cre/ar,-ation"
"kred/i,-o","cred/er,-e"
"kredit/o,-i","credet,-er"
kremo,crem
krepiti,crepar
krepuskulo,crepuscul
kreski,crescer
kresto,crest
kreto,crete
idioto,cretino
kankro,creve
krevi,crevar
"kri/o,-i","cri,-ar"
kribrilo,cribell
bankroto,crida /falliment/
"krim/o,-ulo","crímin/e,-ard"
krino,crine
hoko,croc
"kroĉet/ilo,-i","crochet,-ar"
kropo,cropp
lambastono,cruc
kruco,cruce
kruĉo,cruche
kruda,crud
kruela,cruel
panmolo,crumel
krusto,cruste
krura,crure
"kub/o,-a","cub/e,-ic"
"kukol/o; -i = cantar ""cucú""",cucú
kukurbo,cucombre
kubuto,cude
"zcrg/o,-i","cuid/a,-er"
kulmino,cúlmine
kulpo,culpa
kultivi,cultivar
tranĉilo,cultel
kumino,cúmine
"amas/o,-igi","cúmul,-ar"
kojno,cuneo
kuniklo,cunicul
"tranĉi, tondi",cupar
profitema,cupid
kupolo,cupol
kupro,cupre
"kurac/o ,-adi","cur/a,-ar"
kiraso,curasse
scivola; kurioza,curiosi
kuri,currer
kurta,curt
"kurb/o,-a","curv/e,-i"
"kuz/o,-ino","cusin/o,-a"
kapkuseno,cussine
kosti,custar
"kutim/o,-i","custom,-ar"
ledo,cute
ciklo,cycle /cicle/
ciklono,cyclon /ciclon/
cigno,cygne /cigne/
cipreso,cypress /cipress/
"damaĝ/o,-i","damage,-ar"
"damn/i,-o","damn/ar,-ation"
"danĝer/o,-a","danger/e,-osi"
"danc/o,-i","dans/a,-ar"
doni,dar
dato,date
daktilo,datil
melhundo,dax
de,de
"debila, malforta",debil
ŝuldi,debir
diboĉi,debochar
dekadenci,decader
deci,decer
elrevigi,decepter
dek,deci
"decid/i,-o","deci/der,-sion"
deklari,declarar
deklinacii,declinar
"dekliv/o,-i","decliv/e,-ar"
dekokti,decocter
dekolti,decoltar
malkovri,decovrir
dediĉi,dedicar
defendi,defender
"deform/i ,-ado","deform/ar,-ation"
defraŭdi,defraudar
degeli,degelar
deĵori,dejorar
matenmanĝi,dejunar
debati,deliberar
delico,delicie
deliri,delirar
morgaŭ,deman
peti,demandar
freneza,dement
dementi,dementir
duono,demí
malkonstrui,demolir
denove,denov/e/
dense,densi
"dent/o,-aro","dent/e,-age"
punto,dentelle
"Di/o,-ino","De/o,-essa"
dependi,depender
priplori,deplorar
deponejo,depó
de tiu tempo,depoy
senmoraligi,depravar
"malĝojigi, deprimi",depresser
moki,derider
derivi,derivar
