差 ; 差 ; chà ; HSK3,esser diferent de; esser inferior
超市 ; 超市 ; chāoshì ; HSK3,supermercate
襯衫 ; 衬衫 ; chènshān ; HSK3,camise; bluse
成績 ; 成绩 ; chéngjì ; HSK3,acomplement; successe; resultates (de labor o studie)
城市 ; 城市 ; chéngshì ; HSK3,cité o borgo
遲到 ; 迟到 ; chídào ; HSK3,arivar in retard
除了 ; 除了 ; chúle ; HSK3,except; in ultra; in plu
船 ; 船 ; chuán ; HSK3,bote; nave
春 ; 春 ; chūn ; HSK3,verne; joyosi
詞典 ; 词典 ; cídiǎn ; HSK3,dictionarium
聰明 ; 聪明 ; cōngming ; HSK3,inteligent; astut
打掃 ; 打扫 ; dǎsǎo ; HSK3,nettar; balayar
打算 ; 打算 ; dǎsuàn ; HSK3,planar; intenter
帶 ; 带 ; dài ; HSK3,bande; cintura; ribon; portar; aportar; elevar (infantes)
擔心 ; 担心 ; dānxīn ; HSK3,suciar se pri; esser anxiosi
蛋糕 ; 蛋糕 ; dàngāo ; HSK3,torte
當然 ; 当然 ; dāngrán ; HSK3,cert; comprensibilmen
"地 ; 地 ; dì, de ; HSK3",terre | (particul adverbial)
燈 ; 灯 ; dēng ; HSK3,lampe; lúmine
地方 ; 地方 ; dìfang ; HSK3,loc; spacie; parte (fāng: local; regional)
地鐵 ; 地铁 ; dìtiě ; HSK3,via subterran; metro
地圖 ; 地图 ; dìtú ; HSK3,landcarte; mappe
電梯 ; 电梯 ; diàntī ; HSK3,elevator
電子郵件 ; 电子邮件 ; diànzǐ yóujiàn ; HSK3,e-posta; email
東 ; 东 ; dōng ; HSK3,ost
冬 ; 冬 ; dōng ; HSK3,hiverne
動物 ; 动物 ; dòngwù ; HSK3,animale
短 ; 短 ; duǎn ; HSK3,"curt (longore, duration, altore); manca"
段 ; 段 ; duàn ; HSK3,paragraf; segment; section
鍛煉 ; 锻炼 ; duànliàn ; HSK3,exercir; adurar
多麼 ; 多么 ; duōme ; HSK3,"tam (bon, etc.); quam (bon idé)"
餓 ; 饿 ; è ; HSK3,afamat
耳朵 ; 耳朵 ; ěrduo ; HSK3,orel
"發 ; 发 ; fā, fà ; HSK3",inviar; distribuer; monstrar (su emotion) | capilles
發燒 ; 发烧 ; fāshāo ; HSK3,haver febre
發現 ; 发现 ; fāxiàn ; HSK3,decovrir
方便 ; 方便 ; fāngbiàn ; HSK3,convenent
放 ; 放 ; fàng ; HSK3,plazzar; liberar
放心 ; 放心 ; fàngxīn ; HSK3,relaxar; sentir aleviation
