English,Gothic
Manichaeism (Μανιχαῖος 'Mani' + -trauains)  ,Manixeutrauains (f.I)
doubt (attested)  ,Tweifl (n.A)
"to be doubtful, to have doubt (tweifl^ + -on; Compare OHG zwīfalōn)  ",Tweiflon (weak 2)
to doubt (someone/something) [transitive] (compare German bizweifeln)  ,Bitweiflon
to challenge (Compare German anzweifeln)  ,Anatweiflon
to despair (Compare German verzweilfeln)  ,Fratweilfon
scepticism (tweifl + -haidus)  ,Tweiflahaidus (m.U)
sceptic (pres. part. of tweilfon)  ,Tweiflonds (m.C)
insecurity (lit. Self-doubt)  ,Silbatweifl (n.A)
desperation (Calque of German Verzweiflung)  ,Fratweiflons (f.i/o)
desperate (fratwaleifons + -isks)  ,Fratweiflonisks (adj. A)
"to be anxious (from Proto-Germanic *kwīþanan, Compare Old Norse kvíða)  ",Qeiþan (strong class 1 verb)
anxiety (qeiþan + -jan + -eins)  ,Qaideins (f.I)
anxious (qaideins + -isks)  ,Qaideinisks (adj.A)
"strong, mighty (seemingly only used in compounds; from Proto-Germanic *ermuna-, compare Old English eormen-, Old Norse jörmun-, and Old High German and Old Saxon irmin-)  ",Airmuna- (adj.A)
"Irimsul, the World Tree (airmuna-^ + sauls, calque of Old Saxon Irminsul)  ",Airmunasauls (f.I)
"staff, wand, ritual tool (from Proto-Germanic gandaz)  ",Gands (m.A)
phase (from φάση Gr)  ,Faza (f. O)
Tibet (from Middle Mongolian töbed)  ,Terbaiþ (n.A)
Indo-European Kiþa-Terbaidisks (adj.A) Sino-Tibetan ,Indja-Airopisks (adj.A)
dialect (calque of German Mundart and Dutch mondaard)  ,Munþawists (f.I)
diaspora (calque of Greek διασπορά)  ,Ufarsajiþa (f.O)
prestige dialect (lit. honor-dialect)  ,Aizamunþawists (f.I)
to immigrate (in- + wagjan 'to move')   ,Inwagjan
to emigrate (uf- + wagjan)   ,Ufwagjan
immigrant   ,Inwagjands (m.C)
immigration  ,Inwageins (f.I/O)
enclave (lit. in-community)  ,Ingamainduþs (f.I)
oven  ,auhns (m.)
maniac  ,daimonareis
fire  ,fon
lesson (claque of Icelandic kennslustund)  ,Laisjastunda (f.O)
city-state (lit. city-state)  ,Baurgareiki (n.ja)
university (calque of German Hochschule and Icelandic háskóli)  ,Hauhasxaula (f.O)
server (pres.part. of skalkinon)  ,Skalkinonds (m. C)
pet (calque of Haustier NHG)  ,Gardadius (n. A)
thither (by analogy with hwaþ) (þa- + -þ)  ,Þaþ (adv.)
"to condence, to compress, to abbreviate (leitils + jan)   ",Leitiljan
"condensation, compression (as in, something that is compressed); abbreviation   ",Leitileins (f.I/O)
"condensation (as in liquid on a window or can), compression (the force of compression)   ",Leitiljands (m.C)
compressor  ,Leitilja (m.N)
pronoun (calque of 'pronoun')  ,Fauranamo (n. N)
adverb (calque of Latin adverbum)  ,Atqiss
Hyperborea (calque of Greek ὑπερβόρεος/huperbóreos)  ,Ufarnaurþra (name)
Description (based on Ufarmeli/Meli inscription(or title)/script and Twis- attested on twisstandan)  ,Twismeli (m.N)
"dis-, des-, in two, in twain, asunder, in pieces, apart, separate (only attested indicating separation from something)  ",Twis- (prefix)
valid (calque of German gültig and Icelandic gildur)  ,Guldanags (adj. A)
invalid  ,Unguldanags (adj.A)
"to hint about, to suggest or imply, to insinuate, to give indications as to (calque of Swedish antyda and German andeuten)  ",Anaþiudjan
populous (þiuda + fulls)  ,Þiudafulls (adj.A)
Bilingual (Twai + rodjands)  ,Twairodjands (adj. A)
Polyglot (Filu + rodjands)  ,Filurodjands (adj. A)
"crab, cancer (from *krabbô PG)  ",Krabba (m. N)
"multilingual, polyglot (calque of polyglot with -oþs suffix)  ",Filurazdoþs (adj. A)
polyglot (nominalisation of ^filurazdoþs)  ,Filurazdoda (m. N)
century (lit. 'that which is hundredfold') Taihunfalþei (f.N) decade Twailffalþei (f.N) dozen,Hundafalþei (f.N)
"swelling, boil, tumor (attested word) Krabbagunds malignant tumor ",Gunds (m.A)
official (calque of Latin officialis) Andbahtjaleiko (adv.) officially ,Andbahtjaleiks (adj.A)
"civil servant (fulk 'folk, common people"" + andbahts 'servant, official')  ",Fulkandbahts (m.A)
civil (calque of Latin civilis)  ,Baurgjaleiks (adj. A)
civilization (baurgja 'citizen' + -inassus)  ,Baurgeinassus (m.U)
farmer (þaurp 'farmland' + -ja)  ,Þaurpja (m.N)
agriculture  ,Þaurpei (f.N)
"Great South River (Brazilian State, calque from Portuguese Rio Grande do Sul [Mikils + ahwa])  ",Sunthra Mikilahwa (m. N)
"group, class, category (from *kruppaz PG)  ",Krupps (m. A)
conlang (gaskafti- 'creation' + razda)  ,Gaskaftirazda (f.O)
to conlang  ,Razdaskapjan (weak 1)
singular (ains 'one' + -leiks) Managafalþs (adj. A) plural (lit. many-fold) ,Ainaleiks (adj.A)
Southern China (from Latin Sīnae and Greek Σῖναι [The southern Chinese])  ,Seina (f.O)
"bloodline, dynasty (from bloþ 'blood' + leino 'line')  ",Blodaleino (f.N)
"happy, joyous (from fraus 'joy' (cognate with German Froh, attested as a name element) + -leiks)  ",Frawaleiks (adj.A)
president (calque of Latin praesideō)  ,Faurasitands (m.C)
"clear, obvious, distinct, explicit (calque of Swedish tydlig and German deutlich)   ",Þiudaleiks (adj. A)
"unclear, indistinct, inexplicit (calque of Swedish otydlig and German undeutlich)  ",Unþiudaleiks (adj. A)
circumstance (calque of German Umstand)  ,Bistands (m.A)
context (calque of German Zusammenhang and Scandinavian sammenheng)  ,Samastigs (m.I)
"Gothism (native pagan Gothic religion, a form of IE spirituality) (Guta + -trauains)  ",Gutatrauains (f. I)
"Hellenism (native pagan Greek religion, a form of IE spirituality) (Kreka + -trauains)  ",Krekatrauains (f. I)
Baha'i Faith  ,Bahajatrauains (f.I)
Old Norse (calque of nornskr MNor) (*naurþronjis + -isk)  ,Naurþronisk (n. A)
Proto-Germanic (from fullatojis) (dignified name for Proto-Germanic rather than the calqued usgairmanisk)  ,Fullatojo (n. N)
"poetry, (poetical) singing (from *wōduz PG)  ",Wodus (m. U)
folk religion (fulk 'common people' + -trauains)  ,Fulkatrauains (f.I)
See you later  ,Þuk seiþis saihwa (phr.)
Goodbye (lit. Be healthy)  ,Wis hails (phr.)
apocalypse; judgement day (Christ.) (From OHG mūspilli)  ,Mûspilli (n.ja)
Christmas Eve (calque of German Heiligabend)  ,Hailagandanahti (f.jo)
Power Plant (straums (electricity) + wairk (factory))  ,Straumawairk (n.A)
grammar (calque of málfræði Is)  ,Razdaleisei (f. N)
bondage (bindan + *-iti)  ,Binditi (f.jo)
"main, primary (used as a prefix like aðal- in Icelandic or haupt- in German)  ",Haubida-
"saga, story, tale (from *sagǭ PG)  ",Sago (f. N)
history (calque of sagnfræði Is)  ,Spillaleisei (f. N)
